scientific_name, common_name, SPCD
Abies balsamea, balsam fir, 12
Picea engelmannii, Engelmann spruce, 93
Picea rubens, red spruce, 97
Pinus ponderosa, ponderosa pine, 122
Pseudotsuga menziesii, Douglas-fir, 202
Acer saccharum, sugar maple, 318
Fraxinus pennsylvanica, green ash, 544
Populus tremuloides, quaking aspen, 746
Prunus serotina, black cherry, 762
Quercus alba, white oak, 802
