"species","p1","p2","p3","p4","p5","p6","p7","p8","p9","p10","p11","procErr","nu"
"Prunus serotina",100,127,1193,2660,991,7583,3798,1625,373,4619,3445,2884,861
"Populus deltoides",188,141,1242,4432,1588,6661,4063,2332,726,4886,4559,6641,83
"Betula papyrifera",82,87,715,2698,1429,5935,6018,2251,457,2732,2591,3348,609
"Pinus ponderosa",146,292,1145,865,540,2607,1290,960,192,770,714,1127,114
"Populus tremuloides",184,122,1360,3336,1259,8921,2820,2320,661,3216,3169,1582,564
"Picea rubens",87,106,478,649,437,846,7558,233,253,1652,1126,2982,322
"Acer saccharum",90,68,475,3777,1071,6734,4720,1709,547,4786,4563,3463,1920
"Liriodendron tulipifera",60,88,612,3070,636,3898,1857,1760,238,3048,2909,3479,1723
