"species","p1","p2","p3","p4","p5","p6","p7","p8","p9","p10","p11"
"Acer saccharum",0.066,-0.0081,0.036,0.00037,0.00046,-0.00053,-0.00029,-0.00076,0.00066,0.00063,0.00016
"Betula papyrifera",0.068,-0.01,0.027,-0.00022,0.00088,6e-04,0.00011,-0.00033,8.8e-05,0.00038,-8.5e-05
"Liriodendron tulipifera",0.14,-0.017,0.07,0.0014,0.0015,-0.0021,0.00043,0.0021,6e-04,-0.00024,0.00018
"Picea rubens",0.089,-0.014,0.049,0.0025,0.00036,0.0023,0.0014,-0.0028,0.0013,0.0017,0.00044
"Pinus ponderosa",0.056,-0.0061,0.011,-0.0016,-0.0026,-0.0052,4.3e-05,-0.00016,-0.0038,-0.00036,0.00022
"Populus deltoides",0.16,-0.018,0.084,5.4e-05,0.00081,-0.0087,-0.00093,0.005,0.00014,-0.00036,0.00025
"Populus tremuloides",0.11,-0.017,0.057,-0.00073,0.0015,-0.00034,0.00028,0.002,0.0011,0.00025,-4.1e-05
"Prunus serotina",0.089,-0.013,0.05,0.00073,0.00064,-0.00044,-0.0018,0.00047,8e-04,0.00022,0.00024
