"common_name","r2","rmse","mae","species"
"black cherry",0.636488100998889,3.37763145239523,1.21725399948926,"Prunus serotina"
"eastern cottonwood",0.614921198287858,12.7728803237553,4.8580483528322,"Populus deltoides"
"paper birch",0.466854231841254,1.7541753546621,0.643025933179199,"Betula papyrifera"
"ponderosa pine",0.408261025298804,4.8274586483202,1.65287597701647,"Pinus ponderosa"
"quaking aspen",0.669381904993327,1.90841792793113,0.839794897105853,"Populus tremuloides"
"red spruce",0.730867525499314,1.27420223531054,0.55094938151772,"Picea rubens"
"sugar maple",0.527860679846754,4.40420095070264,1.21367950518713,"Acer saccharum"
"yellow poplar",0.676774830985272,5.46878835270239,2.37471758816226,"Liriodendron tulipifera"
